IMAGE,NAME,INFO
https://img.purch.com/w/660/aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzA2MC80NzQvb3JpZ2luYWwvR3JhY2VIb3BwZXIyLmpwZw==,Grace Hopper,Grace Brewster Murray Hopper was an American computer scientist and United States Navy rear admiral. 
https://www.machinedesign.com/sites/machinedesign.com/files/styles/article_featured_standard/public/adalovelacehero.jpg?itok=ukoZqDx8,Ada Lovelace, Ada Lovelace was an English mathematician and writer chiefly known for her work on Charles Babbage's proposed mechanical general-purpose computer the Analytical Engine.
http://hillsdalecollegian.com/wp-content/uploads/2017/09/Elizebeth-.png,Elizebeth Friedman,Elizebeth Smith Friedman was an expert cryptanalyst and pioneer in U.S. cryptography.
https://ghc.anitab.org/wp-content/uploads/sites/2/2018/06/jessica-o-matthews-700x466.jpg, Jessica O. Matthews, She got her first patent at age 19!
https://anitab.org/wp-content/uploads/2017/12/Anita-Borg-at-her-desk-smiling-BW.png, Anita Borg, She founded the Institute for Women and Technology and the Grace Hopper Celebration of Women in Computing.
https://www.nasa.gov/sites/default/files/thumbnails/image/26646856911_ca242812ee_o_1.jpg, Katherine Johnson, Katherine Coleman Goble Johnson is an African-American mathematician whose calculations of orbital mechanics as a NASA employee were critical to the success of the first and subsequent U.S. manned spaceflights.
https://o.aolcdn.com/images/dims?quality=100&image_uri=http%3A%2F%2Fo.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2F251df4aaf31e78d77ec14f103c975050%2F201542169%2FNASA_Science_and_Engineering_Newsletter_Annie_Easley.jpg&client=amp-blogside-v2&signature=1994dac5ddcd11f5f145781a31fabc1c5568381a, Annie Easley, Annie J. Easley was an African-American computer and rocket scientist. 
https://pbs.twimg.com/profile_images/820864074577645568/Kr_wKdtf_400x400.jpg, Simone Giertz, Simone Luna Louise Șderlund Giertz is a Swedish inventor and professional YouTuber. 
https://si.wsj.net/public/resources/images/CS-AA160_BITS_b_P_20160209141802.jpg, Ayah Bdeir, Ayah Bdeir is an entrepreneur and inventor. She is the founder and CEO of littleBits.
https://thumbor.forbes.com/thumbor/1280x868/https%3A%2F%2Fblogs-images.forbes.com%2Falexknapp%2Ffiles%2F2018%2F01%2Fayanna-howard-one-1200x873.jpeg,Ayanna Howard,Ayanna Howard is an American roboticist and the School Chair for Interactive Computing at the Georgia Institute of Technology. 